gateway_no,gateway_name,building_no,building_name,floor_no,floor_name,location_x,location_y
333,RF_X36Y14,6.0,FAB,17.0,RF,90.0,145.0
387,7F_X46Y05,6.0,FAB,16.0,7F,194.0,36.0
381,7F_X34Y05,6.0,FAB,16.0,7F,69.0,36.0
346,5F_X43Y05,6.0,FAB,14.0,5F,163.0,37.0
370,7F_X34Y12,6.0,FAB,16.0,7F,69.0,134.0
382,5F_X31Y11,6.0,FAB,14.0,5F,40.0,122.0
371,7F_X47Y12,6.0,FAB,16.0,7F,206.0,135.0
350,5F_X39Y12,6.0,FAB,14.0,5F,122.0,137.0
337,RF_X41Y14,6.0,FAB,17.0,RF,142.0,146.0
375,6F_X33Y12,6.0,FAB,15.0,6F,59.0,136.0
359,5F_X37Y15,6.0,FAB,14.0,5F,102.0,159.0
352,5F_X46Y11,6.0,FAB,14.0,5F,194.0,121.0
368,5F_X44Y14,6.0,FAB,14.0,5F,172.0,148.0
376,6F_X31Y09,6.0,FAB,15.0,6F,38.0,92.0
365,5F_X40Y14,6.0,FAB,14.0,5F,132.0,147.0
373,5F_X33Y08,6.0,FAB,14.0,5F,60.0,80.0
356,RF_X40Y03,6.0,FAB,17.0,RF,132.0,26.0
369,7F_X37Y09,6.0,FAB,16.0,7F,101.0,91.0
377,6F_X34Y05,6.0,FAB,15.0,6F,69.0,36.0
379,5F_X35Y03,6.0,FAB,14.0,5F,78.0,26.0
378,6F_X48Y11,6.0,FAB,15.0,6F,208.0,122.0
344,6F_X41Y05,6.0,FAB,15.0,6F,142.0,36.0
340,6F_X41Y11,6.0,FAB,15.0,6F,142.0,121.0
342,6F_X41Y03,6.0,FAB,15.0,6F,143.0,23.0
343,6F_X38Y12,6.0,FAB,15.0,6F,112.0,136.0
386,7F_X41Y12,6.0,FAB,16.0,7F,143.0,135.0
367,5F_X37Y08,6.0,FAB,14.0,5F,101.0,80.0
358,5F_X40Y08,6.0,FAB,14.0,5F,133.0,81.0
349,5F_X36Y05,6.0,FAB,14.0,5F,90.0,36.0
372,5F_X41Y03,6.0,FAB,14.0,5F,143.0,26.0
341,RF_X36Y03,6.0,FAB,17.0,RF,90.0,26.0
335,RF_X32Y14,6.0,FAB,17.0,RF,48.0,144.0
351,5F_X35Y12,6.0,FAB,14.0,5F,80.0,136.0
345,5F_X47Y08,6.0,FAB,14.0,5F,204.0,80.0
336,RF_X44Y03,6.0,FAB,17.0,RF,174.0,26.0
366,5F_X45Y03,6.0,FAB,14.0,5F,185.0,24.0
374,6F_X46Y05,6.0,FAB,15.0,6F,195.0,37.0
348,5F_X31Y05,6.0,FAB,14.0,5F,37.0,36.0
383,7F_X42Y09,6.0,FAB,16.0,7F,153.0,92.0
388,7F_X40Y05,6.0,FAB,16.0,7F,132.0,36.0
334,RF_X45Y14,6.0,FAB,17.0,RF,183.0,145.0
331,타각기 1,,,,,227.0,252.0
330,타각기2,,,,,227.0,260.0
363,보안스티커부착장소,,,,,224.0,229.0
385,SK전진사무소,,,,,218.0,152.0
360,휴게실,,,,,220.0,177.0
347,호이스트 4,,,,,194.0,70.0
361,흡연장,,,,,221.0,198.0
380,여자화장실_컨테이너,,,,,219.0,120.0
364,남자화장실_컨테이너,,,,,217.0,91.0
355,호이스트 2,,,,,195.0,208.0
384,클라이머_리프트_옆_컨테이너,,,,,201.0,179.0
